tweet_id,tweet_created,airline,airline_sentiment,negative_reason,text
1,2025-04-08 22:21:19,Virgin America,positive,,This is a positive tweet about Virgin America.
2,2025-02-28 10:30:34,United,negative,Other Issue,This is a negative tweet about United.
3,2025-01-26 07:54:29,Delta,negative,Bad Flight,This is a negative tweet about Delta.
4,2025-04-15 09:58:24,Virgin America,negative,Flight Attendant Complaints,This is a negative tweet about Virgin America.
5,2025-02-20 22:11:25,United,positive,,This is a positive tweet about United.
6,2025-03-26 10:36:11,American,positive,,This is a positive tweet about American.
7,2025-02-09 18:14:06,United,negative,Cancelled Flight,This is a negative tweet about United.
8,2025-02-14 13:25:42,Virgin America,positive,,This is a positive tweet about Virgin America.
9,2025-03-10 09:51:03,US Airways,positive,,This is a positive tweet about US Airways.
10,2025-04-19 19:18:53,JetBlue,negative,Bad Flight,This is a negative tweet about JetBlue.
11,2025-03-27 02:48:25,American,positive,,This is a positive tweet about American.
12,2025-03-12 05:41:38,United,negative,Other Issue,This is a negative tweet about United.
13,2025-04-09 00:50:57,Virgin America,positive,,This is a positive tweet about Virgin America.
14,2025-03-02 10:49:19,Southwest,neutral,,This is a neutral tweet about Southwest.
15,2025-01-29 14:15:55,United,neutral,,This is a neutral tweet about United.
16,2025-03-13 13:04:29,Delta,negative,Other Issue,This is a negative tweet about Delta.
17,2025-04-09 03:03:20,Delta,negative,Damaged Luggage,This is a negative tweet about Delta.
18,2025-01-20 19:57:52,American,positive,,This is a positive tweet about American.
19,2025-03-26 17:22:54,Delta,positive,,This is a positive tweet about Delta.
20,2025-03-19 21:18:58,US Airways,positive,,This is a positive tweet about US Airways.
21,2025-03-19 07:56:24,American,positive,,This is a positive tweet about American.
22,2025-03-08 00:46:06,Delta,negative,Flight Booking Problems,This is a negative tweet about Delta.
23,2025-02-13 20:40:27,American,positive,,This is a positive tweet about American.
24,2025-03-29 20:51:03,Delta,negative,Cancelled Flight,This is a negative tweet about Delta.
25,2025-03-23 16:46:03,Delta,negative,Late Flight,This is a negative tweet about Delta.
26,2025-03-27 02:53:41,Southwest,negative,Late Flight,This is a negative tweet about Southwest.
27,2025-02-22 06:09:18,American,neutral,,This is a neutral tweet about American.
28,2025-01-22 01:17:05,United,neutral,,This is a neutral tweet about United.
29,2025-03-04 13:38:58,Southwest,negative,longlines,This is a negative tweet about Southwest.
30,2025-01-29 15:04:00,US Airways,negative,Cancelled Flight,This is a negative tweet about US Airways.
31,2025-03-05 19:58:54,Virgin America,positive,,This is a positive tweet about Virgin America.
32,2025-02-08 23:22:31,American,neutral,,This is a neutral tweet about American.
33,2025-04-03 00:05:21,Virgin America,negative,Bad Flight,This is a negative tweet about Virgin America.
34,2025-04-17 02:26:44,Delta,positive,,This is a positive tweet about Delta.
35,2025-04-01 21:51:00,Southwest,neutral,,This is a neutral tweet about Southwest.
36,2025-02-23 00:46:30,Delta,neutral,,This is a neutral tweet about Delta.
37,2025-04-03 19:56:31,American,negative,Damaged Luggage,This is a negative tweet about American.
38,2025-04-09 15:05:13,JetBlue,negative,Flight Attendant Complaints,This is a negative tweet about JetBlue.
39,2025-01-31 17:36:19,United,positive,,This is a positive tweet about United.
40,2025-02-01 08:11:16,Delta,negative,longlines,This is a negative tweet about Delta.
41,2025-03-14 18:28:51,United,negative,longlines,This is a negative tweet about United.
42,2025-03-05 18:54:50,United,negative,Late Flight,This is a negative tweet about United.
43,2025-02-28 13:15:10,American,negative,longlines,This is a negative tweet about American.
44,2025-03-22 05:08:22,American,neutral,,This is a neutral tweet about American.
45,2025-04-12 14:58:16,US Airways,positive,,This is a positive tweet about US Airways.
46,2025-04-18 19:44:11,American,positive,,This is a positive tweet about American.
47,2025-03-06 20:31:18,JetBlue,positive,,This is a positive tweet about JetBlue.
48,2025-02-15 12:23:54,American,negative,Damaged Luggage,This is a negative tweet about American.
49,2025-02-26 14:07:35,US Airways,negative,Bad Flight,This is a negative tweet about US Airways.
50,2025-03-25 08:37:47,Virgin America,positive,,This is a positive tweet about Virgin America.
51,2025-02-12 21:15:18,US Airways,positive,,This is a positive tweet about US Airways.
52,2025-04-05 13:49:20,American,positive,,This is a positive tweet about American.
53,2025-03-04 05:01:12,JetBlue,negative,Bad Flight,This is a negative tweet about JetBlue.
54,2025-02-20 16:47:08,Delta,positive,,This is a positive tweet about Delta.
55,2025-03-28 22:51:13,United,negative,Bad Flight,This is a negative tweet about United.
56,2025-02-14 16:52:54,Delta,neutral,,This is a neutral tweet about Delta.
57,2025-04-10 09:09:15,JetBlue,neutral,,This is a neutral tweet about JetBlue.
58,2025-03-04 18:39:57,US Airways,positive,,This is a positive tweet about US Airways.
